Unnamed: 0,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,RevenuePerMonth,ServiceBundleScore,HighRiskContract,FiberOpticUser,PaperlessHighRisk,SingleCustomer,HighMonthlyCharges,TenureChargesRatio,ChargesPerService,StabilityScore,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,LifecycleStage_Growing,LifecycleStage_Loyal,LifecycleStage_Mature,LifecycleStage_New
3738,1,0,0,0,35,0,0,0,0,1,0,1,1,0,49.2,1701.65,47.268055555555556,3,1,0,0,1,0,0.697211155378486,12.3,1,True,False,False,True,False,False,False,False,True,False,False,False,True,False
3151,1,0,1,1,15,1,0,1,0,0,0,0,0,0,75.1,1151.55,71.971875,2,1,1,0,0,0,0.1971090670170828,25.03333333333333,2,False,True,False,True,False,False,False,False,False,True,True,False,False,False
4860,1,0,1,1,13,0,0,1,1,0,1,0,0,0,40.55,590.35,42.167857142857144,3,0,0,0,0,0,0.31287605294825516,10.1375,3,True,False,False,False,False,True,False,False,False,True,True,False,False,False
3867,0,0,1,0,26,1,0,0,1,1,0,1,1,1,73.5,1905.7,70.58148148148149,5,0,0,1,0,0,0.348993288590604,12.25,3,True,False,False,False,False,True,False,True,False,False,False,False,True,False
3810,1,0,1,1,1,1,0,0,0,0,0,0,0,0,44.55,44.55,22.275,1,1,0,0,0,0,0.021953896816684963,22.275,2,True,False,False,True,False,False,False,False,True,False,False,False,False,True
2666,1,0,0,1,66,1,0,0,1,1,1,1,1,1,79.5,5196.1,77.55373134328359,6,0,0,1,0,0,0.8198757763975155,11.357142857142858,3,True,False,False,False,False,True,False,True,False,False,False,True,False,False
2645,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19.8,19.8,9.9,1,1,0,0,1,0,0.04807692307692307,9.9,0,False,False,True,True,False,False,False,True,False,False,False,False,False,True
189,0,0,1,0,40,1,1,0,1,0,0,0,0,0,56.6,2379.1,58.02682926829268,3,1,0,0,0,0,0.6944444444444444,14.15,2,True,False,False,True,False,False,False,True,False,False,False,False,True,False
5767,0,0,1,0,65,1,0,0,0,0,1,1,0,1,59.8,3808.2,57.699999999999996,3,0,0,1,0,0,1.069078947368421,14.95,3,True,False,False,False,False,True,False,True,False,False,False,True,False,False
2257,0,0,0,0,60,1,1,0,0,1,1,1,1,0,80.55,4847.05,79.45983606557377,6,0,0,0,1,0,0.7357449417535254,11.507142857142856,2,True,False,False,False,True,False,False,True,False,False,False,True,False,False
